datetime,open,high,low,close,volume
2026-03-12T02:30:00+00:00,14885.21,14892.73,14834.21,14847.21,3230
2026-03-12T02:45:00+00:00,14847.21,14849.73,14815.71,14827.23,3588
2026-03-12T03:00:00+00:00,14827.23,14837.21,14803.72,14805.22,3418
2026-03-12T03:15:00+00:00,14805.22,14815.21,14790.21,14797.73,2283
2026-03-12T03:30:00+00:00,14797.73,14797.73,14787.21,14791.21,500
2026-03-12T03:45:00+00:00,14791.21,14795.73,14787.72,14795.21,421
2026-03-12T04:00:00+00:00,14795.21,14799.22,14791.72,14796.73,133
2026-03-12T04:15:00+00:00,14796.73,14803.73,14795.71,14803.23,135
2026-03-12T04:30:00+00:00,14803.23,14803.23,14790.21,14791.72,142
2026-03-12T04:45:00+00:00,14791.72,14794.22,14791.21,14792.22,115.65492492208895
2026-03-12T05:00:00+00:00,14792.22,14816.21,14789.21,14791.22,2012
2026-03-12T05:15:00+00:00,14791.22,14796.73,14773.71,14786.23,1822
2026-03-12T05:30:00+00:00,14786.23,14833.23,14785.22,14825.22,2299
2026-03-12T05:45:00+00:00,14825.22,14848.22,14813.21,14846.71,1679
2026-03-12T06:00:00+00:00,14846.71,14856.23,14839.21,14848.71,1468
2026-03-12T06:15:00+00:00,14848.71,14873.71,14841.21,14872.22,1344
2026-03-12T06:30:00+00:00,14872.22,14883.23,14858.23,14868.71,1801
2026-03-12T06:45:00+00:00,14868.71,14872.21,14856.21,14858.21,1677
2026-03-12T07:00:00+00:00,14858.21,14867.73,14853.21,14859.22,566
2026-03-12T07:15:00+00:00,14859.22,14872.22,14858.22,14867.73,299
2026-03-12T07:30:00+00:00,14867.73,14868.22,14854.72,14862.23,285
2026-03-12T07:45:00+00:00,14862.23,14877.22,14862.22,14876.23,270
2026-03-12T08:00:00+00:00,14876.23,14885.23,14871.21,14876.23,570
2026-03-12T08:15:00+00:00,14876.23,14878.73,14867.72,14867.72,345
2026-03-12T09:00:00+00:00,14867.72,14870.73,14854.21,14857.23,172
2026-03-12T09:15:00+00:00,14857.23,14863.23,14852.21,14861.71,315
2026-03-12T09:30:00+00:00,14861.71,14882.23,14861.71,14879.71,361
2026-03-12T09:45:00+00:00,14879.71,14882.22,14874.21,14876.22,391
2026-03-12T10:00:00+00:00,14876.22,14878.72,14867.21,14878.22,458
2026-03-12T10:15:00+00:00,14878.22,14878.22,14869.21,14869.21,347
2026-03-12T10:30:00+00:00,14869.21,14876.21,14865.21,14868.22,513
2026-03-12T10:45:00+00:00,14868.22,14871.23,14861.21,14864.72,314
2026-03-12T11:00:00+00:00,14864.72,14866.23,14859.71,14864.23,438
2026-03-12T11:15:00+00:00,14864.23,14871.23,14861.21,14870.22,433
2026-03-12T11:30:00+00:00,14870.22,14880.73,14870.22,14878.22,373
2026-03-12T11:45:00+00:00,14878.22,14880.22,14861.22,14861.22,270
2026-03-12T12:00:00+00:00,14861.22,14863.21,14842.21,14847.21,722
2026-03-12T12:15:00+00:00,14847.21,14850.23,14841.21,14844.72,625
2026-03-12T12:30:00+00:00,14844.72,14846.73,14835.21,14840.73,697
2026-03-12T12:45:00+00:00,14840.73,14843.23,14835.21,14840.23,570
2026-03-12T13:00:00+00:00,14840.23,14846.23,14836.21,14836.23,506
2026-03-12T13:15:00+00:00,14836.23,14837.22,14821.71,14831.72,1321
2026-03-12T13:30:00+00:00,14831.72,14839.21,14817.22,14821.21,2458
2026-03-12T13:45:00+00:00,14821.21,14835.21,14802.73,14810.23,1714
2026-03-12T14:00:00+00:00,14810.23,14823.23,14809.21,14823.21,1842
2026-03-12T14:15:00+00:00,14823.21,14826.23,14795.71,14795.72,1564
2026-03-12T14:30:00+00:00,14795.72,14800.23,14782.21,14794.73,1230
2026-03-12T14:45:00+00:00,14794.73,14811.22,14783.21,14786.72,2077
2026-03-12T15:00:00+00:00,14786.72,14789.73,14773.21,14780.72,1175
2026-03-12T15:15:00+00:00,14780.72,14803.23,14777.21,14799.22,1012
2026-03-12T15:30:00+00:00,14799.22,14814.23,14786.22,14812.23,2115
2026-03-12T15:45:00+00:00,14812.23,14813.23,14801.22,14810.22,1798
2026-03-12T16:00:00+00:00,14810.22,14820.21,14791.22,14804.23,1397
2026-03-12T16:15:00+00:00,14804.23,14828.72,14801.21,14803.22,1491
2026-03-12T16:30:00+00:00,14803.22,14824.72,14801.23,14820.21,1531
2026-03-12T16:45:00+00:00,14820.21,14820.23,14799.72,14804.23,1118
2026-03-12T17:00:00+00:00,14804.23,14820.71,14803.71,14807.22,1051
2026-03-12T17:15:00+00:00,14807.22,14813.22,14800.23,14805.23,1096
2026-03-12T17:30:00+00:00,14805.23,14815.23,14804.21,14804.21,748
2026-03-12T17:45:00+00:00,14804.21,14805.23,14794.22,14802.23,815
2026-03-12T18:00:00+00:00,14802.23,14813.21,14801.72,14810.72,745
2026-03-12T18:15:00+00:00,14810.72,14813.23,14799.21,14802.72,800
2026-03-12T18:30:00+00:00,14802.72,14804.23,14797.21,14800.23,763
2026-03-12T18:45:00+00:00,14800.23,14804.23,14797.21,14800.22,549
2026-03-12T19:00:00+00:00,14800.22,14809.22,14797.72,14800.22,723
2026-03-12T19:15:00+00:00,14800.22,14805.22,14797.21,14801.71,329
2026-03-12T19:30:00+00:00,14801.71,14809.23,14801.71,14805.21,268
2026-03-12T19:45:00+00:00,14805.21,14805.21,14796.21,14798.71,374
2026-03-12T20:00:00+00:00,14798.71,14803.21,14797.72,14799.73,70.3356504468719
2026-03-12T20:15:00+00:00,14799.73,14802.23,14798.73,14800.71,56
2026-03-12T20:30:00+00:00,14800.71,14802.23,14799.71,14802.21,41
2026-03-13T01:00:00+00:00,14802.21,14829.949999999999,14802.21,14821.429999999998,477.12918951858626
2026-03-13T01:15:00+00:00,14821.429999999998,14824.949999999999,14795.929999999998,14809.949999999999,1470
2026-03-13T01:30:00+00:00,14809.949999999999,14908.429999999998,14804.429999999998,14865.449999999999,10175
2026-03-13T01:45:00+00:00,14865.449999999999,14907.439999999999,14855.449999999999,14900.429999999998,6368
2026-03-13T02:00:00+00:00,14900.429999999998,14935.939999999999,14891.939999999999,14913.939999999999,4486
2026-03-13T02:15:00+00:00,14913.939999999999,14941.449999999999,14908.449999999999,14923.949999999999,3511
2026-03-13T02:30:00+00:00,14923.949999999999,14928.949999999999,14881.929999999998,14895.929999999998,3093
2026-03-13T02:45:00+00:00,14895.929999999998,14920.449999999999,14885.939999999999,14916.939999999999,2257
2026-03-13T03:00:00+00:00,14916.939999999999,14931.949999999999,14896.449999999999,14896.939999999999,2114
2026-03-13T03:15:00+00:00,14896.939999999999,14909.939999999999,14885.929999999998,14890.949999999999,2152
2026-03-13T03:30:00+00:00,14890.949999999999,14899.929999999998,14885.429999999998,14896.949999999999,648
2026-03-13T03:45:00+00:00,14896.949999999999,14902.949999999999,14895.939999999999,14899.939999999999,351
2026-03-13T04:00:00+00:00,14899.939999999999,14901.449999999999,14892.429999999998,14895.929999999998,203
2026-03-13T04:15:00+00:00,14895.929999999998,14898.939999999999,14894.429999999998,14895.939999999999,96
2026-03-13T04:30:00+00:00,14895.939999999999,14901.929999999998,14892.929999999998,14897.949999999999,188
2026-03-13T04:45:00+00:00,14897.949999999999,14898.929999999998,14894.949999999999,14897.929999999998,152
2026-03-13T05:00:00+00:00,14897.929999999998,14981.439999999999,14892.929999999998,14969.449999999999,3553
2026-03-13T05:15:00+00:00,14969.449999999999,14969.949999999999,14938.939999999999,14939.439999999999,2256
2026-03-13T05:30:00+00:00,14939.439999999999,14961.449999999999,14933.439999999999,14946.939999999999,1988
2026-03-13T05:45:00+00:00,14946.939999999999,14958.949999999999,14918.949999999999,14923.449999999999,1597
2026-03-13T06:00:00+00:00,14923.449999999999,14927.429999999998,14899.949999999999,14915.429999999998,1692
2026-03-13T06:15:00+00:00,14915.429999999998,14924.449999999999,14893.929999999998,14901.929999999998,2087
2026-03-13T06:30:00+00:00,14901.929999999998,14906.939999999999,14865.939999999999,14869.439999999999,2074
2026-03-13T06:45:00+00:00,14869.439999999999,14891.449999999999,14855.929999999998,14888.939999999999,1760
2026-03-13T07:00:00+00:00,14888.939999999999,14888.939999999999,14857.929999999998,14870.939999999999,1017
2026-03-13T07:15:00+00:00,14870.939999999999,14875.939999999999,14858.939999999999,14874.939999999999,401
2026-03-13T07:30:00+00:00,14874.939999999999,14881.939999999999,14868.929999999998,14870.929999999998,446
2026-03-13T07:45:00+00:00,14870.929999999998,14878.949999999999,14869.929999999998,14877.939999999999,326
2026-03-13T08:00:00+00:00,14877.939999999999,14877.939999999999,14855.939999999999,14864.439999999999,530
2026-03-13T08:15:00+00:00,14864.439999999999,14864.939999999999,14847.929999999998,14857.449999999999,519
2026-03-13T09:00:00+00:00,14857.449999999999,14872.939999999999,14853.949999999999,14856.949999999999,399
2026-03-13T09:15:00+00:00,14856.949999999999,14869.949999999999,14844.429999999998,14866.939999999999,453
2026-03-13T09:30:00+00:00,14866.939999999999,14867.929999999998,14858.429999999998,14861.949999999999,382
2026-03-13T09:45:00+00:00,14861.949999999999,14875.449999999999,14860.929999999998,14862.939999999999,335
2026-03-13T10:00:00+00:00,14862.939999999999,14879.439999999999,14860.929999999998,14878.939999999999,336
2026-03-13T10:15:00+00:00,14878.939999999999,14887.449999999999,14877.929999999998,14885.449999999999,211
2026-03-13T10:30:00+00:00,14885.449999999999,14890.449999999999,14879.929999999998,14888.939999999999,238
2026-03-13T10:45:00+00:00,14888.939999999999,14909.929999999998,14886.939999999999,14904.939999999999,507
2026-03-13T11:00:00+00:00,14904.939999999999,14912.939999999999,14894.449999999999,14896.939999999999,361
2026-03-13T11:15:00+00:00,14896.939999999999,14912.949999999999,14896.449999999999,14905.439999999999,310
2026-03-13T11:30:00+00:00,14905.439999999999,14916.449999999999,14901.939999999999,14916.429999999998,293
2026-03-13T11:45:00+00:00,14916.429999999998,14919.949999999999,14909.929999999998,14919.929999999998,310
2026-03-13T12:00:00+00:00,14919.929999999998,14932.949999999999,14919.449999999999,14928.929999999998,380
2026-03-13T12:15:00+00:00,14928.929999999998,14940.449999999999,14928.439999999999,14939.429999999998,276
2026-03-13T12:30:00+00:00,14939.429999999998,14947.949999999999,14936.929999999998,14946.929999999998,617
2026-03-13T12:45:00+00:00,14946.929999999998,15017.949999999999,14945.939999999999,14972.449999999999,1763
2026-03-13T13:00:00+00:00,14972.449999999999,14975.439999999999,14950.929999999998,14961.949999999999,854
2026-03-13T13:15:00+00:00,14961.949999999999,14967.429999999998,14956.929999999998,14956.929999999998,535
2026-03-13T13:30:00+00:00,14956.929999999998,14973.949999999999,14946.929999999998,14971.949999999999,2124
2026-03-13T13:45:00+00:00,14971.949999999999,14977.929999999998,14959.949999999999,14961.939999999999,1403
2026-03-13T14:00:00+00:00,14961.939999999999,14963.929999999998,14941.929999999998,14941.929999999998,1544
2026-03-13T14:15:00+00:00,14941.929999999998,14957.939999999999,14933.429999999998,14954.429999999998,1504
2026-03-13T14:30:00+00:00,14954.429999999998,14969.439999999999,14936.929999999998,14938.939999999999,1726
2026-03-13T14:45:00+00:00,14938.939999999999,14939.949999999999,14914.929999999998,14916.449999999999,1653
2026-03-13T15:00:00+00:00,14916.449999999999,14942.949999999999,14908.939999999999,14942.929999999998,1749
2026-03-13T15:15:00+00:00,14942.929999999998,14942.949999999999,14899.929999999998,14902.929999999998,1361
2026-03-13T15:30:00+00:00,14902.929999999998,14910.949999999999,14885.439999999999,14892.939999999999,1615
2026-03-13T15:45:00+00:00,14892.939999999999,14911.949999999999,14877.939999999999,14880.929999999998,2220
2026-03-13T16:00:00+00:00,14880.929999999998,14896.449999999999,14874.429999999998,14884.449999999999,1617
2026-03-13T16:15:00+00:00,14884.449999999999,14891.949999999999,14873.929999999998,14890.939999999999,1383
2026-03-13T16:30:00+00:00,14890.939999999999,14910.949999999999,14889.929999999998,14897.929999999998,1592
2026-03-13T16:45:00+00:00,14897.929999999998,14909.949999999999,14885.449999999999,14891.949999999999,1284
2026-03-13T17:00:00+00:00,14891.949999999999,14904.949999999999,14886.929999999998,14904.949999999999,911
2026-03-13T17:15:00+00:00,14904.949999999999,14909.949999999999,14900.929999999998,14905.939999999999,947
2026-03-13T17:30:00+00:00,14905.939999999999,14909.449999999999,14898.929999999998,14905.939999999999,932
2026-03-13T17:45:00+00:00,14905.939999999999,14909.929999999998,14878.929999999998,14882.939999999999,1121
2026-03-13T18:00:00+00:00,14882.939999999999,14893.939999999999,14880.929999999998,14890.949999999999,882
2026-03-13T18:15:00+00:00,14890.949999999999,14892.449999999999,14875.929999999998,14887.949999999999,668
2026-03-13T18:30:00+00:00,14887.949999999999,14898.939999999999,14885.429999999998,14897.939999999999,684
2026-03-13T18:45:00+00:00,14897.939999999999,14899.949999999999,14891.439999999999,14892.429999999998,578
2026-03-13T19:00:00+00:00,14892.429999999998,14892.449999999999,14885.439999999999,14885.949999999999,419
2026-03-13T19:15:00+00:00,14885.949999999999,14888.449999999999,14875.929999999998,14878.939999999999,553
2026-03-13T19:30:00+00:00,14878.939999999999,14881.939999999999,14871.439999999999,14874.949999999999,411
2026-03-13T19:45:00+00:00,14874.949999999999,14884.939999999999,14867.929999999998,14879.449999999999,527
2026-03-13T20:00:00+00:00,14879.449999999999,14881.429999999998,14874.449999999999,14877.449999999999,84.53310361801624
2026-03-13T20:15:00+00:00,14877.449999999999,14878.949999999999,14876.929999999998,14878.449999999999,58
2026-03-13T20:30:00+00:00,14878.449999999999,14883.439999999999,14878.429999999998,14881.439999999999,81
2026-03-16T01:00:00+00:00,14881.439999999999,14912.51,14878.439999999999,14895.99,743.0416325416326
2026-03-16T01:15:00+00:00,14895.99,14898.5,14817.99,14862.5,2653
2026-03-16T01:30:00+00:00,14862.5,14903.51,14767.5,14796.51,12719
2026-03-16T01:45:00+00:00,14796.51,14895.51,14796.51,14894.5,8159
2026-03-16T02:00:00+00:00,14894.5,14945.51,14882.49,14933.01,7756
2026-03-16T02:15:00+00:00,14933.01,14939.51,14872.99,14884,6174
2026-03-16T02:30:00+00:00,14884,14907,14871.5,14874.51,4222
2026-03-16T02:45:00+00:00,14874.51,14880.51,14836.5,14867.99,3608
2026-03-16T03:00:00+00:00,14867.99,14879.01,14847,14861.51,2946
2026-03-16T03:15:00+00:00,14861.51,14915.5,14860.51,14906.49,2333
2026-03-16T03:30:00+00:00,14906.49,14922.49,14902,14920.51,692
2026-03-16T03:45:00+00:00,14920.51,14923.51,14914.49,14920.5,576
2026-03-16T04:00:00+00:00,14920.5,14924.99,14918.49,14921.5,176
2026-03-16T04:15:00+00:00,14921.5,14925.51,14920.5,14922.49,164
2026-03-16T04:30:00+00:00,14922.49,14923.51,14917.49,14918.01,97
2026-03-16T04:45:00+00:00,14918.01,14923.51,14917.99,14921.5,92.05020950216604
2026-03-16T05:00:00+00:00,14921.5,14968.51,14915.5,14950.51,4575
2026-03-16T05:15:00+00:00,14950.51,14964.51,14939.01,14953.49,3361
2026-03-16T05:30:00+00:00,14953.49,14991,14942.49,14986.51,2586
2026-03-16T05:45:00+00:00,14986.51,14992.51,14966.5,14982.49,1865
2026-03-16T06:00:00+00:00,14982.49,14992,14973.99,14984.01,1456
